country,dayNum,BXKLTDINVWDGDZS,BXTRFPWKRCDDT,CMMKTLCAPGDZS,DTODAODATGNZS,DTTDSDECTEXZS,EGEGYPRIMPPKD,EGELCACCSRUZS,ENATMPM25MCM3,FBCBKBRCHP5,ICREGDURS,ICTAXTOTLCPZS,IPJRNARTCSC,ISAIRPSGR,ITCELSETSP2,ITNETUSERZS,MSMILTOTLP1,MSMILXPNDGDZS,NEEXPGNFSZS,NEIMPGNFSZS,NVAGREMPLKD,NYGDPMKTPKDZG,NYGDPTOTLRTZS,NYGNPPCAPCD,SEPRMCMPTZS,SEXPDTOTLGDZS,SGGENPARLZS,SHDYNMORT,SHHIVINCDZS,SHSTASMSSZS,SIPOVDDAY,SIPOVGINI,SIPOVNAHC,SISPRPCAP,SLGDPPCAPEMKD,SLTLFCACTFMZS,SLTLFCACTZS,SMPOPREFG,SPPOPGROW,STINTRCPTXPZS,TGVALTOTLGDZS,TTPRIMRCHXDWD,UHC,allhouse,armedConflict,casesMD,christCountry,christPct,colLeg_n2,comDis,cumCasesLag1,cumCasesLag1P100KC,cumDeathsLag1,cumDeathsLag1P100KC,deathsMD,ebolaCasesDum,ebolaCasesN,ecoeff,ecoleg,effect,eiec,envMort,execnat,execrel,execrlc,exelec,firstCase,firstDeath,fraud,gdpPerCap,gdpPerCapLn,geoDiff,geoDiffXdayNum,govEffInd,govHlthSpd,hlthRisks,hlthWork,idaEligible,inflation,kidMort,legelec,legit,liec,matMort,medDocsN,medDocsPC,military,muslimCountry,muslimPct,nNeighbors,netMigration,netOilProd,newCases,newDeaths,nonComDis,oppmajh,oppmajs,percent1,poleff,polity,polleg,popDen,population,prepStatus,prtyin,regEff,regTypeFH_n,roadInj,sahoStatusEHA,seceff,secleg,sexHlth,sfi,soceff,socleg,state,subAbuse,svcCovInd,system,tempDiffS,tobCont,urbanPop,vacCov,yrcurnt,yrsoffc
Algeria,53,.80769166646636,1792000000,.2117483648870821,.0842058892013406,.5119016994682399,4.13270236532592,100,38.8840106983002,5.2242395493851,18,66.09999999999999,5231.44,6748653,109.356,59.5797,317000,6.00952348900797,22.79435880616596,29.23199678876852,19509.3252412694,.799999999999784,19.023326237193,4010,101.364631652832,,25.7575757575758,23.3,.09,17.6874771668945,,,,,45616.83833333508,21.64708288618945,41.1500015258789,98599,1.93395019121501,.4577914324006672,.0000454482516901,216.3094282,,1,twenty,.001914495,0,.2,2/France,61,139,.31698221,15,.034206711,.00020660019,0,0,1,3,3,6,40.33,1,0,3,0,27,43,1,4055,8.3077059,66.666664,3533.3333,-.4,65.9546911716461,80,,0,4.27,20.43,1,8,7,112,72604,17.193,0,1,97.90000000000001,6,-50002,prod,62,2,14.2,0,-999,81.53,1,2,3,17.348,43851043,4,18,2/Muslim,0/notFree,,1,1,1,77.2,11,0,1,1,.95,78,0,2.645751311064591,18.8,73.2,.007,2,18
Angola,57,-4.61458824224493,3445473.46759301,,.1704915710655718,26.7874372431497,3.60595906776897,3.8150702987396,32.3885049076425,9.44801349776762,36,49.1,30.12,1436959,46.5986,14.3391,117000,1.64466112900931,40.55687106744227,28.2934139960246,1216.21060908139,-.6246443177068954,26.7682069466731,2960,,,30,74.7,1.45,,51.8,51.3,32.3,,17318.3660977382,96.48093424864538,77.4929962158203,25793,3.2429826028718,1.345771733049796,.0000550049160383,176.4906107,,1,twenty,.00031249999,1,90.5,3/neither,351,2,.0060852664,0,0,0,0,0,2,3,7,2,67.25,1,0,3,0,52,60,0,4272,8.3598375,0,0,-1.1,46.27865254879,63,,0,17.1,51.87,1,9,6,241,6400,2.146,0,0,.2,4,32066,prod,1,0,16.5,0,-999,49.57,1,-2,1,23.89,32866268,3,42,1/Africa,0/notFree,23.6,1,2,2,24.2,16,2,3,1,6.94,40,0,1.732050807568877,,66.2,1.47,0,38
Benin,137,1.599587602120748,205102146.996,,4.042757362737275,5.852233873693483,9.074815370364609,18.3340276061638,38.9999587632257,3.94404210653488,8.5,48.9,227.74,899,87.702,20,12250,.652801729118102,29.63052719308062,34.05080512095495,2186.91600711854,6.865687335255984,2.36925711603047,1250,64.43959808349609,2.93396997451782,7.2289156626506,90.3,.52,,49.6,47.8,38.5,2.71,8209.467614489839,94.27948569667581,70.8679962158203,1238,2.71510535908362,4.827523820529848,.0000519710318002,131.3596149,,-999,none,.4537445,1,53,2/France,55,412,3.3984432,6,.04949189,.0066079297,0,0,3,2,6,7,119.1,0,0,0,0,50,68,0,826,6.7165947,75,10275,-.6,29.9844712018967,35,,1,-.9,60.41,0,4,7,397,908,.791,0,0,23.8,4,-10000,minCons,58,1,19.6,0,-999,24.73,1,7,0,99.11,12123198,2,-999,1/Africa,2/free,27.5,0,0,0,,10,2,2,2,2.81,40,0,8.774964387392123,7.2,47.9,4.95,4,1
Botswana,63,1.422688625053449,50097077.953,,.4828739717987269,3.17329627634523,3.35102805516129,27.8826111458015,23.094386181065,9.2918217828582,48,25.1,280.57,299351.994,173.811,47,9000,2.77020292125919,33.58767708715632,40.52308192815995,1696.715283290024,2.966125647812334,1.21788884624381,7650,,,10.7692307692308,41.6,8.23,,14.5,53.3,,7.97,46299.25036737684,85.01521205852663,70.81999969482421,1113,2.1752909092404,7.836655577571904,.0000643221954819,83.91428997,,1,none,.0026362038,1,72.09999999999999,1/Britain,253,3,.12757136,0,0,0,0,0,1,0,1,6,52.99,0,0,1,0,62,63,0,7595,8.9352455,75,4725,.3,75.6595969200134,30,,0,2.8,32.3,0,2,7,144,1138,5.269,0,0,.4,4,14999,minCons,1,1,20.3,0,-999,-999,0,8,1,4.044,2351625,2,51,1/Africa,2/free,23.8,1,0,0,,3,0,1,1,6.59,61,2,1.732050807568877,23.7,70.2,6.78,2,9
BurkFas,51,1.300436384511541,476154362.86,,7.22253250722678,3.030131532840337,6.03244507030799,,42.9355925055958,3.07768148113688,13,41.3,251.99,203296.242094835,100.212,16,11200,2.42994839861159,25.36905712793275,31.3562031627096,1886.155027900168,5.699434934240344,14.1705432416317,780,64.54945373535161,5.38379001617432,13.3858267716535,87.5,.19,,,,41.4,,6323.509559005616,77.92478745804402,66.4300003051758,25869,2.84422255256232,4.609819685009589,.0000539122375074,138.8304461,,1,none,.020295203,0,22.5,2/France,47,33,.15786998,1,.0047839386,.00061500614,0,0,3,3,9,7,92.70999999999999,0,0,2,0,41,49,1,642,6.4645882,0,0,-.6,43.30193400383,44,,1,-3.2,55.3,0,7,7,320,1626,.847,1,1,61.6,6,-125000,neither,7,0,21.7,0,0,53.5,3,6,0,70.151,20903278,2,2,1/Africa,1/partFree,30.5,1,0,1,45,16,3,3,,12.03,40,0,3,16,30,5.76,2,2
Burundi,35,.0346893868762326,48328632,,14.78228853163409,9.710181705869987,7.72218437489304,3.43518375552102,38.8962679482295,3.22270804156733,5,41.2,21.12,,57.6156,2.66075,51050,1.76513100608552,9.131191568901574,32.72616867073746,183.8515384930983,1.84247667669986,11.2142533660784,280,59.3764190673828,5.07864999771118,36.3636363636364,56.5,.2,,,,,,1764.444626396421,103.3603591096848,79.1539993286133,78465,3.12896711408085,1.367914795759357,.0000354210286015,147.3396173,,1,war,0,1,91.5,3/neither,107,0,0,0,0,0,0,0,4,2,12,7,100.2,1,0,0,0,62,76,0,290,5.6698809,0,0,-1.4,24.7139275074005,48,,1,-.7,41.17,0,9,7,548,1084,1.001,0,0,2.8,3,10003,neither,0,0,22.9,0,0,73.91,3,-1,3,423.062,11890781,2,-999,1/Africa,0/notFree,34.7,1,2,2,39.3,21,3,2,1,7.19,42,0,5,12.6,13.4,9.050000000000001,3,12
Cameroon,137,2.003817311616391,333554496,,3.06720080049873,14.11332197663828,4.77752966152165,23.033573776803,72.7930962237353,2.19823412672764,13.5,57.7,875.62,198881.213,81.75530000000001,23.203,34400,1.09666376169493,20.21468714851534,24.65303407532357,1151.820425426756,3.720711422322466,6.20460583973401,1500,65.4980392456055,3.13120007514954,31.1111111111111,74.8,1.1,,,,35,,8597.492952284381,87.67941189502596,76.072998046875,406259,2.58424710709784,8.66995237929682,.0000258797351572,153.92527,,1,war,5.1965256,1,70.3,3/neither,179,9572,36.05835,275,1.0359429,.14929424,0,0,2,2,7,6,117.6,0,0,0,0,37,56,1,1451,7.2800083,100,13700,-.8,13.3175760507584,42,,1,2.5,51.59,0,9,6,529,1842,.881,0,0,18.3,6,-24000,neither,292,1,21.6,0,-999,77.99,2,-4,3,50.885,26545864,3,51,1/Africa,0/notFree,30.1,0,1,2,,16,2,2,0,5.65,46,0,8.774964387392123,9.300000000000001,57,2.9,1,35
CapeVerde,62,5.313323618336882,235867714.167815,,4.33137817459446,5.911873926381481,2.77272582273854,96.9000583608925,34.7787001010668,32.002600846291,9,37.5,8.69,675482,108.318,58.1714,1200,.486092072867728,50.86442619422994,65.35010239037116,4295.049756247954,5.66775245955813,.379099980746224,3630,87.2902069091797,5.18174982070923,20,14.9,.29,,3.4,42.4,,,18883.40939296987,78.95967678182208,60.4550018310547,,1.12792431423236,54.41156190473865,.0000432929759631,109.7835608,,0,none,.012195121,1,89.09999999999999,3/neither,46,5,.89929998,1,.17986,.0024390244,0,0,2,1,3,7,68.56999999999999,1,0,2,0,51,55,0,3244,8.0845623,0,0,.3,60.2447330951691,48,,1,1.1,13.56,0,2,7,58,410,7.814,0,0,.1,0,-6709,minCons,1,0,17.2,0,-999,74.01000000000001,0,10,0,135.58,555988,2,6,1/Africa,2/free,25,1,0,0,,5,1,1,1,5.6,69,0,1.414213562373095,,66.2,8.970000000000001,4,6
CAR,99,1.1530456448981,,,27.470881989601,,8.10372476525413,16.318600945685,56.8284973827312,.707526311134695,22,73.3,20.47,,32.2513,4.33925,10150,1.49832255700385,18.65532802065335,47.47980242329161,409.7475654881645,2.970275647534066,9.06849427734746,520,40.8741683959961,,8.571428571428569,110.1,2,,,,,,2431.006797162554,80.77617535671941,71.9550018310547,7170,1.67474521186478,,.0000346798831034,78.02545759,,-999,war,.29012346,1,89.5,2/France,540,94,1.9462649,0,0,0,0,0,4,3,12,7,141.3,-999,-999,-999,-999,46,115,0,427,6.0567842,83.333336,8250,-1.7,12.8226339817047,17,,1,3,83.44,-999,11,7,829,324,.721,0,0,8.5,6,-200000,neither,0,0,23.1,-999,-999,19.05,3,6,2,7.479,4829764,1,-999,1/Africa,0/notFree,33.6,1,2,3,,23,3,3,0,2.38,33,0,6.244997998398398,,41.8,8.52,4,1
Chad,63,5.007877927951783,,,7.904276541193081,,2.78131878010528,2.74551059527495,66.0292054967769,1.00015989898132,58,63.5,15.45,,48.0648,6.5,32850,2.17578021033377,36.74225343638259,37.82827211947323,1536.503487609292,3.24718191743429,23.9544291479125,700,40.5602188110352,2.45481991767883,14.8809523809524,113.8,.5,,,,42.3,,4282.449147368077,82.45838350924414,70.69899749755859,442670,2.98593746093303,,.0000413877166426,159.3552277,,1,twenty,.010752688,0,40.6,2/France,142,7,.04261573,0,0,0,0,0,3,3,10,7,180.9,0,0,0,0,50,90,0,719,6.5778613,33.333332,2100,-1.4,15.805572271347,30,,1,-1,70.84,0,9,6,1140,651,.434,1,1,55.3,6,10000,prod,0,0,23.9,0,0,59.92,3,-2,1,11.833,16425859,2,27,2/Muslim,0/notFree,27.6,1,1,2,17.5,19,3,3,0,1.37,28,0,1.732050807568877,11.8,23.3,3.26,1,27
